roi_name,roi_type,metric,hemisphere,reference_population,age_min,age_max,sex,expected_mean,expected_sd,covariates,units,version
bankssts,cortical,thickness,lh,HCP,18,30,M,2.32,0.11,None,mm,HCP-v1.0
bankssts,cortical,thickness,lh,HCP,18,30,F,2.38,0.12,None,mm,HCP-v1.0
bankssts,cortical,thickness,rh,HCP,18,30,M,2.35,0.10,None,mm,HCP-v1.0
bankssts,cortical,thickness,rh,HCP,18,30,F,2.41,0.11,None,mm,HCP-v1.0
bankssts,cortical,thickness,lh,ADNI,65,75,M,2.18,0.14,Age,mm,ADNI-v1.0
bankssts,cortical,thickness,lh,ADNI,65,75,F,2.24,0.15,Age,mm,ADNI-v1.0
caudal_anterior_cingulate,cortical,thickness,lh,HCP,18,30,M,2.52,0.26,None,mm,HCP-v1.0
caudal_anterior_cingulate,cortical,thickness,lh,HCP,18,30,F,2.55,0.28,None,mm,HCP-v1.0
caudal_anterior_cingulate,cortical,thickness,rh,HCP,18,30,M,2.48,0.24,None,mm,HCP-v1.0
caudal_anterior_cingulate,cortical,thickness,rh,HCP,18,30,F,2.51,0.26,None,mm,HCP-v1.0
caudal_middle_frontal,cortical,thickness,lh,HCP,18,30,M,2.44,0.11,None,mm,HCP-v1.0
caudal_middle_frontal,cortical,thickness,lh,HCP,18,30,F,2.46,0.12,None,mm,HCP-v1.0
caudal_middle_frontal,cortical,thickness,rh,HCP,18,30,M,2.41,0.10,None,mm,HCP-v1.0
caudal_middle_frontal,cortical,thickness,rh,HCP,18,30,F,2.43,0.11,None,mm,HCP-v1.0
cuneus,cortical,thickness,lh,HCP,18,30,M,1.87,0.09,None,mm,HCP-v1.0
cuneus,cortical,thickness,lh,HCP,18,30,F,1.89,0.10,None,mm,HCP-v1.0
cuneus,cortical,thickness,rh,HCP,18,30,M,1.91,0.09,None,mm,HCP-v1.0
cuneus,cortical,thickness,rh,HCP,18,30,F,1.93,0.10,None,mm,HCP-v1.0
entorhinal,cortical,thickness,lh,HCP,18,30,M,3.18,0.38,None,mm,HCP-v1.0
entorhinal,cortical,thickness,lh,HCP,18,30,F,3.24,0.40,None,mm,HCP-v1.0
entorhinal,cortical,thickness,rh,HCP,18,30,M,3.14,0.37,None,mm,HCP-v1.0
entorhinal,cortical,thickness,rh,HCP,18,30,F,3.20,0.39,None,mm,HCP-v1.0
entorhinal,cortical,thickness,lh,ADNI,65,75,M,2.88,0.42,Age,mm,ADNI-v1.0
entorhinal,cortical,thickness,lh,ADNI,65,75,F,2.95,0.45,Age,mm,ADNI-v1.0
entorhinal,cortical,thickness,rh,ADNI,65,75,M,2.84,0.41,Age,mm,ADNI-v1.0
entorhinal,cortical,thickness,rh,ADNI,65,75,F,2.91,0.44,Age,mm,ADNI-v1.0
fusiform,cortical,thickness,lh,HCP,18,30,M,2.16,0.14,None,mm,HCP-v1.0
fusiform,cortical,thickness,lh,HCP,18,30,F,2.18,0.15,None,mm,HCP-v1.0
fusiform,cortical,thickness,rh,HCP,18,30,M,2.19,0.13,None,mm,HCP-v1.0
fusiform,cortical,thickness,rh,HCP,18,30,F,2.21,0.14,None,mm,HCP-v1.0
inferior_parietal,cortical,thickness,lh,HCP,18,30,M,2.30,0.12,None,mm,HCP-v1.0
